Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY,average_spring_length,old_frame
54,152.68,22.21,146.95,25.9,149.11,10.75,151.91,4.14,184.36,46.89,187.29,78.2,84.65381203,95.34618797,188.9155746,95.57090124,31.44679634,21.32778971,0,0,16.8,0.3,0,1.4,30.4,29.2,4.6,7.9,120,10.4,148.09,21.2,-9.39,1.513,0.166,5.1,1.03,49.54,1.708,0.366,20.3,-3.96,6.21,1.861,0.65,24.13865518,71
55,156.39,23.73,150.54,27.17,153.34,12.03,156.52,5.66,188.33,47.27,189.48,78.83,87.91314932,92.08685068,190.1201989,96.39928512,31.5809452,22.07179341,0,0,15.8,-2.5,0,1.4,28,23,5.7,10.7,113.5,12.3,142.55,19.88,-13.01,1.548,0.174,4.6,-0.23,56.03,1.744,0.37,14.67,-3.05,6.16,1.888,0.652,23.92490795,72
56,159.84,24.24,153.73,27.68,157.17,12.28,160.73,5.92,191.78,47.66,190.89,79.09,-88.37799489,88.37799489,191.3837223,61.65439045,31.44259849,22.05493181,0,0,14.3,-4.4,0,1.3,25.4,17.2,6.4,14,104.6,13.6,121.35,18,-15.37,1.587,0.179,4.17,-1.71,60.38,1.781,0.374,7.52,-2.02,5.61,1.915,0.655,23.98987593,73
57,163.99,24.37,157.5,27.93,161.82,12.66,165.38,6.43,195.29,48.16,193,79.6,-85.83409537,85.83409537,194.2729741,62.12301036,31.52328822,21.6199527,0,0,12.6,-4.9,0,1.1,22.1,13.4,6.3,14.8,96,13.4,93.05,15.92,-15.93,1.629,0.181,3.53,-2.97,61.4,1.819,0.378,-0.87,-1.28,4.76,1.941,0.659,23.80961526,74
58,168.44,24.5,161.95,27.04,167.29,12.15,170.98,6.68,199.1,48.93,195.16,79.72,-82.70785426,82.70785426,197.3229991,62.81676592,31.04106474,20.63574357,0,0,11.1,-3.9,0,0.9,18.1,12.2,5.5,12.8,88.5,11.8,65.7,13.95,-14.68,1.675,0.179,2.64,-3.79,58.96,1.857,0.381,-10.14,-0.93,3.66,1.967,0.665,23.74046313,75
59,172.5,23.61,165.88,25.77,171.99,10.88,176.57,6.17,202.66,49.31,196.42,80.1,-78.54342155,78.54342155,199.8792466,63.0310572,31.41594659,20.06131328,0,0,9.7,-2,0,0.7,14,12.8,4.3,9,80.7,9.4,44.39,12.25,-12.28,1.724,0.174,1.59,-4.25,53.72,1.897,0.383,-19,-0.88,2.15,1.993,0.671,23.52176907,76
60,177.3,22.84,170.56,25.01,177.81,10.12,182.65,6.17,206.19,50.33,198.68,81,-76.24101331,76.24101331,202.8602646,63.92826688,31.57608272,19.69444781,0,0,8.5,0.2,0,0.6,10,14.1,3,3.9,71.1,6.8,29.92,10.74,-9.59,1.775,0.167,0.57,-4.57,46.69,1.936,0.385,-25.45,-1.09,0.23,2.019,0.677,23.61631968,77
61,182.08,21.95,175.08,23.1,183.74,9.61,189.21,4.9,209.57,51.22,200.53,81.63,-73.44433223,73.44433223,205.580745,64.63960672,31.72522183,19.2031932,0,0,7.4,2.2,0,0.5,6.6,15.6,1.8,-2,61.1,4.2,20.34,9.31,-7.02,1.829,0.158,-0.31,-4.8,38.96,1.976,0.385,-28.34,-1.51,-1.77,2.045,0.683,23.67697023,78
62,187.09,21.06,179.83,21.57,189.76,8.97,195.61,4.77,212.66,52.11,202.48,82.14,-71.27363205,71.27363205,208.1653158,65.36887681,31.70856824,18.71909576,0,0,6.3,4.3,0,0.5,3.7,17.8,0.6,-8,54.2,2,13.82,7.94,-4.37,1.884,0.147,-0.96,-4.73,31.29,2.016,0.384,-27.92,-2.07,-3.4,2.07,0.689,22.93133751,79
63,192.2,19.66,184.95,19.28,196.02,7.19,201.75,4.39,215.74,52.62,204.8,82.65,-69.98319819,69.98319819,210.9478603,65.77429198,31.96067114,18.61304969,0,0,5.3,6.7,0,0.5,1.6,21.5,-0.5,-13.8,51.8,0.4,9.6,6.65,-1.42,1.941,0.135,-1.39,-4.26,24.07,2.055,0.383,-25.47,-2.71,-4.45,2.095,0.695,23.46857596,80
64,197.36,17.88,190.11,16.73,202.45,6.81,208.94,3.75,218.49,53.13,206.78,82.52,-68.27593994,68.27593994,213.3080835,66.13568112,31.63694359,18.00764952,0,0,4.3,9.2,0,0.5,-0.2,25.9,-1.5,-18.9,53,-0.7,7.77,5.44,1.72,1.999,0.123,-1.68,-3.51,17.67,2.094,0.38,-22.64,-3.3,-5.04,2.119,0.699,23.33997058,81
65,202.96,16.86,195.58,14.57,209.19,5.41,215.94,4.26,221.28,53.89,209.07,83.03,-67.26574731,67.26574731,215.8695952,66.8023011,31.59467835,17.75342336,0,0,3.4,11.7,0,0.6,-1.7,30.7,-2.2,-22.8,55.8,-1.4,7.86,4.29,4.87,2.059,0.112,-1.93,-2.66,12.52,2.133,0.377,-20.83,-3.72,-5.39,2.142,0.703,23.17523615,82
66,208.15,15.59,201.27,12.53,215.14,4.9,222.65,3.5,223.8,54.02,211.07,83.03,-66.30745164,66.30745164,218.1743984,66.84000806,31.6801673,17.59730549,0,0,2.4,14.1,0,0.6,-3.5,35.5,-2.7,-25.5,59.1,-1.7,7.28,3.03,7.92,2.119,0.101,-2.22,-1.78,8.73,2.171,0.373,-20.75,-3.87,-5.64,2.165,0.705,23.13883734,83
67,213.86,13.68,207.37,10.12,221.88,4.39,229.13,3.88,226.2,54.4,212.97,82.78,-65.00632065,65.00632065,220.2847441,67.08896164,31.31225479,17.05582983,0,0,1.1,16.3,0,0.7,-6,39.8,-3.1,-27.3,62,-2.1,3.78,1.33,10.66,2.18,0.092,-2.66,-0.96,6.21,2.209,0.369,-22.11,-3.74,-5.9,2.187,0.706,23.1780508,84
68,219.43,12.79,213.45,8.59,228.72,3.75,235.59,4.9,228.59,54.65,215.1,82.9,-64.47449241,64.47449241,222.5572197,67.28350949,31.30563208,16.93170841,0,0,-0.9,17.8,0,0.8,-9.8,43,-3.6,-28.9,63.7,-3,-0.95,-1.08,12.64,2.241,0.086,-3.35,-0.35,4.43,2.246,0.365,-23.89,-3.37,-6.16,2.208,0.706,23.13815695,85
69,224.92,11.39,219.32,6.68,234.84,4.26,241.72,5.28,230.52,54.65,217.03,82.65,-64.27589714,64.27589714,224.4434665,67.26252317,31.0802204,16.73788716,0,0,-3.5,18.5,0,0.8,-15.1,44.7,-4.3,-30.5,65.2,-4.5,-3.31,-4.36,13.44,2.302,0.082,-4.35,0.05,1.9,2.283,0.361,-24.95,-2.72,-6.2,2.229,0.705,23.19020659,86
70,230.94,11.39,225.85,5.66,241.38,4.52,247.74,6.3,232.85,54.65,219.11,82.65,-63.86215349,63.86215349,226.6825483,67.21831492,31.18954312,16.71672933,0,0,-6.8,18,0,0.7,-21.7,45.3,-5.6,-31.7,68.8,-6.7,-3.75,-8.57,12.89,2.363,0.08,-5.61,0.43,-3.69,2.319,0.356,-24.36,-1.76,-5.66,2.249,0.702,23.43259032,87
