Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY,average_spring_length,old_frame
11,124.94,10.63,122.65,3.25,137.16,8.97,141.99,13.68,112.34,50.46,101.53,79.34,-69.47874934,69.47874934,107.4322333,63.57159129,30.83683674,17.72615408,37.3,87.1,-48.7,-82.4,1.227,-1.7,-64.3,-50.2,-33.8,-66.1,29.7,-54.4,-68.8,-14.43,-3.92,1.314,0.099,-5.87,2.26,-32.87,1.179,0.333,0.13,-0.31,4.29,1.063,0.67,24.41349145,28
12,125.83,9.61,123.03,3.5,137.66,7.95,142.88,11.9,114.89,50.33,104.45,79.6,-70.36974016,70.36974016,110.1867132,63.51632221,31.07614037,18.08221777,-4.2,192.6,-3.8,-184.1,1.244,4.6,-16.8,-148.2,-19.9,-26.3,-66.4,-37.6,-43.96,-10.02,0.78,1.322,0.092,-4.9,3.67,-18.01,1.196,0.331,-0.49,-1.67,4.62,1.087,0.669,24.88041067,29
13,127.02,9.74,123.2,4.14,138.34,6.3,144.45,10.24,116.96,50.46,106.78,79.6,-70.74324185,70.74324185,112.342772,63.67670177,30.86700504,18.02049508,-43.7,304.1,38.2,-292.9,1.261,8.3,27.2,-255.2,-7.6,12.4,-173.3,-23.5,-10.5,-7.03,4.32,1.329,0.084,-4.1,4.33,-9.85,1.212,0.329,1.69,-2.61,4.64,1.11,0.67,24.71028951,30
14,127.82,9.48,123.12,4.01,138.77,5.41,145.13,8.59,118.53,50.33,108.86,79.6,-71.71787091,71.71787091,114.1382517,63.62332715,30.82599228,18.20227923,-74,404.2,69.8,-391.4,1.291,2.8,59.9,-354.6,-4.5,41.3,-276.1,-20.8,24.51,-5.31,6.26,1.334,0.078,-3.7,3.99,-6.21,1.228,0.329,4.27,-3.28,4.04,1.133,0.672,24.92810063,31
15,128.33,9.61,123.24,4.14,139.27,4.65,145.38,6.81,120.44,50.58,111.28,80.1,-72.76098256,72.76098256,116.2909809,63.95107476,30.90851015,18.48216035,-91.9,476.6,88.4,-463.4,1.29,6.9,77.7,-429.9,7.8,54.7,-359.4,-11.1,52.05,-4.39,6.77,1.339,0.073,-4.01,2.75,-2.78,1.242,0.33,3.58,-4.05,2.63,1.154,0.675,24.96139933,32
16,129.07,9.35,123.6,4.14,139.51,4.14,146.38,6.3,122.84,50.96,113.8,80.49,-72.97911235,72.97911235,118.7419156,64.34677348,30.88272171,18.51087938,-102.7,521.7,99.7,-508.9,1.301,4.6,86.3,-480.2,14.5,58.3,-421,-7.8,67.24,-3.77,6.26,1.342,0.069,-5.05,0.98,2.9,1.256,0.331,-2.78,-4.94,0.62,1.175,0.678,24.89249974,33
17,129.45,9.61,123.98,4.39,139.63,3.37,146.25,5.41,125.25,51.86,115.58,81.38,-71.86252227,71.86252227,120.8918265,65.16437236,31.06347212,18.39649254,-110.5,552.9,108.1,-541.1,1.304,5,91.5,-516.7,24.8,60.4,-468.3,-0.4,68.18,-3.06,5.12,1.345,0.066,-6.23,-0.67,10,1.269,0.332,-13.38,-5.49,-1.26,1.196,0.682,24.75127505,34
18,129.83,9.74,123.98,4.26,140.01,3.63,147.14,5.41,127.54,51.86,117.36,81.89,-71.27363205,71.27363205,123.0453158,65.11887681,31.70856824,18.71909576,-114.2,579.8,112.5,-569,1.311,2.6,94.3,-547.2,31.6,63.8,-504.4,4.7,55.74,-2.15,3.71,1.347,0.065,-6.81,-1.61,15.87,1.28,0.333,-23.43,-5.38,-2.26,1.214,0.685,24.63317115,35
19,129.46,9.1,123.48,4.14,139.39,3.75,146.52,4.77,128.32,51.86,118.78,81.63,-72.23158809,72.23158809,124.0476153,65.19216896,31.26122998,18.61335089,-110.5,599.6,109.4,-589.9,1.317,-0.5,91.7,-568.4,35,64.2,-526,7.3,35.86,-1.38,2.36,1.348,0.064,-6.62,-1.74,18.47,1.29,0.334,-28.36,-4.85,-2.32,1.232,0.678,24.35896231,36
20,129.74,9.35,123.89,4.65,139.8,3.63,146.54,4.9,129.87,51.86,120.96,81.63,-73.33784269,73.33784269,125.8558103,65.27216914,31.07476468,18.72070779,-98.1,604.5,97.1,-595.7,1.316,0.2,80.9,-573.4,37.8,55.7,-529.1,9.9,17.08,-1.21,1.25,1.35,0.064,-6.09,-1.43,17.56,1.299,0.334,-26.92,-4.43,-2,1.249,0.69,24.19156779,37
