,thigh_length,spring_length,spring_force,spring_x_force,spring_y_force,thigh_angle,cable_thigh_angle
max_force,30.90851015497188,15.51121556053735,-30.463053363032202,-29.656226908902564,6.964612388829035,1.2699187126581726,2.1023388733139057
min_force,31.70856824266905,15.18787391136901,-40.6133624630322,-39.937732131868216,7.377178506500596,1.2439595491274558,2.0802912326647727
max_x_force,30.90851015497188,15.51121556053735,-30.463053363032202,-29.656226908902564,6.964612388829035,1.2699187126581726,2.1023388733139057
max_y_force,30.90554966345041,14.791812714346396,-39.332075263032195,-38.080256021982166,9.844097002626507,1.4842962468218441,1.9102675677926952
min_x_force,31.70856824266905,15.18787391136901,-40.6133624630322,-39.937732131868216,7.377178506500596,1.2439595491274558,2.0802912326647727
min_y_force,31.70856824266905,15.18787391136901,-32.1041942630322,-31.570119611581482,5.831538132341049,1.2439595491274558,2.0802912326647727
