Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY
81,177.624,17.88,190.11,16.73,202.45,6.81,208.94,3.75,196.641,53.13,186.102,82.52,0,0,4.3,9.2,0,0.5,-0.2,25.9,-1.5,-18.9,53,-0.7,7.77,4.958,3.443,1.999,0.123,-1.833,-3.156,17.67,2.094,0.38,-22.64,-3.636,-5.354,2.119,0.699
82,182.664,16.86,195.58,14.57,209.19,5.41,215.94,4.26,199.152,53.89,188.163,83.03,0,0,3.4,11.7,0,0.6,-1.7,30.7,-2.2,-22.8,55.8,-1.4,7.86,3.56,6.15,2.059,0.112,-1.91,-2.144,12.52,2.133,0.377,-20.83,-3.662,-5.264,2.142,0.703
83,187.335,15.59,201.27,12.53,215.14,4.9,222.65,3.5,201.42,54.02,189.963,83.03,0,0,2.4,14.1,0,0.6,-3.5,35.5,-2.7,-25.5,59.1,-1.7,7.28,2.456,9.592,2.119,0.101,-2.473,-1.366,8.73,2.171,0.373,-20.75,-3.924,-5.926,2.165,0.705
84,192.474,13.68,207.37,10.12,221.88,4.39,229.13,3.88,203.58,54.4,191.673,82.78,0,0,1.1,16.3,0,0.7,-6,39.8,-3.1,-27.3,62,-2.1,3.78,0.311,12.238,2.18,0.092,-2.972,-0.65,6.21,2.209,0.369,-22.11,-3.712,-6.142,2.187,0.706
85,197.487,12.79,213.45,8.59,228.72,3.75,235.59,4.9,205.731,54.65,193.59,82.9,0,0,-0.9,17.8,0,0.8,-9.8,43,-3.6,-28.9,63.7,-3,-0.95,-2.478,13.669,2.241,0.086,-3.829,-0.076,4.43,2.246,0.365,-23.89,-3.213,-6.428,2.208,0.706
86,202.428,11.39,219.32,6.68,234.84,4.26,241.72,5.28,207.468,54.65,195.327,82.65,0,0,-3.5,18.5,0,0.8,-15.1,44.7,-4.3,-30.5,65.2,-4.5,-3.31,-5.915,12.892,2.302,0.082,-4.639,0.198,1.9,2.283,0.361,-24.95,-2.2,-5.8,2.229,0.705
87,207.846,11.39,225.85,5.66,241.38,4.52,247.74,6.3,209.565,54.65,197.199,82.65,0,0,-6.8,18,0,0.7,-21.7,45.3,-5.6,-31.7,68.8,-6.7,-3.75,-11.126,12.529,2.363,0.08,-6.4,0.643,-3.69,2.319,0.356,-24.36,-1.216,-5.358,2.249,0.702
88,212.652,11.01,232.09,4.52,247.86,4.52,254.1,7.32,211.167,53.64,198.801,82.27,0,0,-10.8,16.4,0,0.6,-29.4,45,-7.4,-32.7,75.5,-9.4,-8.63,-16.701,9.816,2.421,0.082,-7.829,1.217,-14.21,2.354,0.352,-21.36,0.068,-3.716,2.268,0.698
89,217.62,10.37,237.35,4.01,253,6.05,259.36,9.48,212.463,53.13,200.439,81.63,0,0,-15.3,13.6,0,0.4,-37.5,43.5,-9.7,-34.2,83.8,-12.8,-23.94,-21.057,4.961,2.477,0.086,-8.576,1.537,-29.76,2.387,0.348,-15.42,1.063,-1.668,2.288,0.693
90,222.363,10.63,243.89,3.63,259.41,7.06,265.01,11.26,214.461,52.75,202.662,81.12,0,0,-19.6,9.7,0,0.1,-44.8,40.3,-12.3,-35.7,92,-16.4,-48.5,-27.922,-0.258,2.529,0.091,-10.049,1.791,-48.61,2.418,0.344,-6.72,2.139,0.355,2.307,0.688
91,226.827,11.01,249.23,3.63,264.24,8.84,269.33,12.92,215.829,51.73,204.84,81,0,0,-23.1,5.3,0,-0.2,-49.6,36,-14.5,-34.2,99,-19,-75.19,-31.496,-6.048,2.576,0.097,-10.197,1.72,-67.64,2.448,0.341,3.05,3.353,2.284,2.327,0.682
92,230.247,11.01,253.54,3.63,268.31,9.86,273.4,14.32,217.197,50.84,206.775,80.1,0,0,-25,1.2,0,-0.4,-50.8,31.4,-15.9,-28.5,104.4,-19.7,-96.87,-30.599,-10.185,2.616,0.102,-8.923,1.337,-82.66,2.476,0.338,10.92,4.33,3.665,2.348,0.677
93,233.379,11.26,257.53,4.14,271.78,10.75,276.49,15.84,218.727,50.46,208.413,79.98,0,0,-24.9,-1.8,0,-0.5,-48.4,27.6,-15.9,-20.9,108.1,-18.6,-110.55,-31.357,-13.705,2.65,0.106,-8.495,1.074,-89.51,2.501,0.335,14.55,5.284,5.071,2.369,0.673
94,235.827,12.15,260.5,4.01,274.75,11.26,278.95,16.48,220.707,50.33,210.744,79.6,0,0,-22.9,-2.8,0,-0.6,-43.5,26.5,-14.5,-14.9,111.6,-15.7,-117.61,-27.643,-13.571,2.678,0.107,-7.214,1.357,-85.71,2.525,0.333,13.64,4.998,5.571,2.391,0.669
95,237.555,10.88,262.55,3.63,276.42,10.88,281.39,15.72,222.903,49.82,212.823,79.21,0,0,-19.4,-1.6,0,-0.5,-36.8,29,-11.7,-12.5,115.8,-11.5,-118.51,-22.215,-10.508,2.7,0.105,-6.076,2.069,-71.95,2.547,0.331,9.66,3.714,5.643,2.415,0.667
96,238.743,10.24,263.49,3.12,277.74,9.99,282.7,14.7,225,49.82,214.92,78.83,0,0,-15,1.4,0,-0.3,-29.5,33.9,-8.2,-14.1,119.7,-6.7,-109.12,-15.335,-5.614,2.716,0.1,-4.741,2.597,-52.52,2.568,0.329,5.05,1.732,4.866,2.439,0.665
97,239.769,9.86,264.12,2.99,278.63,8.59,283.72,13.43,227.52,50.33,217.44,79.21,0,0,-10.9,4.9,0,0,-23.4,39,-4.9,-19.4,122.3,-2.9,-84.77,-11.718,-1.308,2.729,0.094,-4.582,3.282,-33.63,2.587,0.327,2,-0.358,4.714,2.464,0.665
98,240.354,9.23,264.14,3.37,279.15,7.44,284.5,11.39,229.707,50.2,219.861,79.21,0,0,-8.1,8.2,0,0.3,-19.9,42.8,-2.8,-27.3,123.5,-1,-46.31,-9.005,2.262,2.739,0.087,-4.583,3.211,-20.13,2.606,0.326,1.1,-2.358,4.357,2.489,0.666
99,241.848,9.48,264.52,3.63,280.42,6.05,286.15,9.1,231.651,50.07,222.147,79.09,0,0,-6.5,10.4,0,0.5,-19.4,44.2,-2,-36.7,121.9,-1.4,-1.86,-7.34,4.111,2.747,0.08,-4.945,2.464,-12.52,2.624,0.326,0.73,-3.601,3.4,2.513,0.667
100,242.802,9.23,264.69,3.63,281.1,4.9,287.08,7.95,233.64,50.07,224.244,79.34,0,0,-5.9,11.6,0,0.6,-21.4,42.9,-2.4,-47.1,115.1,-3.9,36.59,-7.436,5.265,2.753,0.074,-6.585,1.354,-7.44,2.641,0.327,-1.58,-5.358,2.286,2.537,0.67
101,243.162,9.48,265.21,4.26,281.25,4.39,287.86,6.68,235.71,50.96,226.44,79.72,0,0,-5.6,11.8,0,0.7,-24.8,39.7,-3.2,-58.3,103.2,-7.8,59.94,-6.936,5.055,2.758,0.069,-8.228,-0.002,-1.54,2.656,0.328,-7.15,-6.715,0.5,2.561,0.673
102,243.702,9.1,265.18,3.63,281.47,3.5,288.09,5.54,237.978,50.96,228.357,80.36,0,0,-5.2,11.4,0,0.7,-28.4,36.1,-4.1,-68.8,89.8,-12,66.68,-5.939,4.056,2.761,0.065,-8.946,-1.002,5.68,2.671,0.329,-14.74,-7.335,-1.067,2.583,0.676
103,244.035,9.23,265.3,4.39,281.84,3.63,288.2,5.15,240.03,51.6,230.067,81,0,0,-4.5,10.9,0,0.6,-30.3,33.7,-4.6,-75.7,80,-14.7,61.71,-5.219,3.564,2.763,0.062,-10.156,-1.43,12.64,2.683,0.33,-21.06,-8.503,-2.215,2.603,0.679
104,244.26,9.23,265.16,3.88,281.96,3.25,288.45,5.03,241.623,51.47,231.885,81.38,0,0,-3.4,10.4,0,0.6,-28.9,33.1,-4.2,-76.9,76.4,-14.9,51.41,-3.431,3.138,2.764,0.06,-9.44,-1.215,18.05,2.694,0.33,-22.96,-8.719,-2.287,2.622,0.682
105,244.206,8.59,265.36,3.5,281.52,2.74,288.14,4.39,242.604,51.35,233.559,81.25,0,0,-1.8,10,0,0.6,-24.4,33.6,-3.2,-73.9,77.2,-12.8,39.26,-1.215,2.569,2.764,0.059,-7.938,-0.786,21.86,2.702,0.33,-19.15,-9.078,-2.002,2.639,0.684
106,243.765,8.84,264.99,3.88,281.15,2.35,287.77,4.52,243.306,51.6,234.828,81.63,0,0,-0.4,9.5,0,0.6,-19,34,-2.1,-72.3,78.9,-10.4,25.63,-0.58,2.15,2.763,0.058,-7.027,-0.614,24.55,2.709,0.331,-10.16,-9.458,-1.909,2.654,0.686
