,thigh_length,spring_length,spring_force,spring_x_force,spring_y_force,thigh_angle,cable_thigh_angle
max_force,30.90851015497188,29.582658966411326,26.90866849999999,4.502543192827219,26.529295980851376,1.2699187126581726,0.46899529655414174
min_force,31.70856824266905,29.93883391781542,16.75835939999999,2.204944050839815,16.612670812131146,1.2439595491274558,0.4587921708734446
max_x_force,31.23133842793164,37.53271575997989,25.525404700000003,15.844731318225433,20.012265602675484,1.8768519673503423,0.3636351455046444
max_y_force,30.90851015497188,29.582658966411326,26.90866849999999,4.502543192827219,26.529295980851376,1.2699187126581726,0.46899529655414174
min_x_force,31.247030258890213,27.669047555342758,19.247870099999993,0.2050189150523326,19.246778188334392,1.1108698970657558,0.4705781429271094
min_y_force,31.61774343624162,35.00294430584476,18.120052949999987,8.224560946451325,16.145987617637733,1.6312422468859085,0.41068329143294346
