,thigh_length,spring_length,spring_force,spring_x_force,spring_y_force,thigh_angle,cable_thigh_angle,,,,Frame
56,31.44259849,33.71666014,50.75298859,19.75002187,46.75256663,1.542486997,0.428007235,,,,
57,31.52328822,33.21286926,49.85168524,17.61687895,46.63513801,1.498087575,0.433896748,,,,
58,31.04106474,32.05692752,49.50592459,15.6085259,46.98095879,1.443524374,0.448029983,,,,
59,31.41594659,31.41858254,48.41245429,12.07084871,46.88347621,1.370841312,0.451947017,,,,
60,31.57608272,31.01520945,48.88520734,10.36844504,47.77299283,1.330656707,0.453860723,,,,
61,31.72522183,30.47823328,49.18846009,8.175536143,48.50428038,1.281845414,0.455934261,,,,
62,31.70856824,29.93883392,45.46029649,5.981337904,45.06508797,1.243959549,0.458792171,,,,
63,31.96067114,29.85194526,48.14648874,5.140161844,47.87131828,1.221437229,0.45632384,,,,
64,31.63694359,29.14652423,47.50346184,3.956135597,47.33843975,1.191639952,0.462533941,,,,
65,31.59467835,28.86257644,46.67978969,3.126923616,46.57494084,1.174008764,0.46382443,,,,
66,31.6801673,28.70529365,46.49779564,2.298724871,46.44093952,1.15728335,0.462970424,,,,
67,31.31225479,28.0589773,46.69386294,1.542300597,46.66838486,1.13457433,0.469258055,,,,
68,31.30563208,27.92317398,46.49439369,1.115446387,46.48101143,1.125292176,0.46949744,,,,
69,31.0802204,27.67383078,46.75464189,1.133755837,46.74089361,1.121826035,0.473221723,,,,
70,31.18954312,27.67010573,47.96656054,0.734098951,47.96094274,1.114604846,0.471496469,,,,
